Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
92143,Bone: The Complete Edition,Jeff Smith,"Smith, Jeff",,"=""""","=""""",0,4.45,Cartoon Books,Paperback,1332,2004,1991,,2022/09/14,"to-read, do_not_own_it","to-read (#151), do_not_own_it (#3)",to-read,,,,0,0
57088641,The Plague,Albert Camus,"Camus, Albert",Laura Marris,"=""0593318668""","=""9780593318669""",0,4.02,Knopf,Hardcover,352,2021,1947,,2022/09/20,"to-read, do_not_own_it","to-read (#152), do_not_own_it (#2)",to-read,,,,0,0
60965426,The Creative Act: A Way of Being,Rick Rubin,"Rubin, Rick",,"=""0593652886""","=""9780593652886""",0,4.03,Penguin Press,Hardcover,406,2023,2023,,2022/10/14,"to-read, do_not_own_it","to-read (#153), do_not_own_it (#1)",to-read,,,,0,0
13891,"Winter's Heart (The Wheel of Time, #9)",Robert Jordan,"Jordan, Robert",,"=""081257558X""","=""9780812575583""",4,3.97,Tor Fantasy,Mass Market Paperback,780,2002,2000,2022/10/13,2022/04/17,,,read,,,,1,0
284736,On the Beach,Nevil Shute,"Shute, Nevil",,"=""0590030523""","=""9780590030526""",4,3.97,Scholastic,Paperback,234,1996,1957,2022/09/01,2021/01/10,,,read,,,,1,0
17351,A Brief History of Time,Stephen Hawking,"Hawking, Stephen","Ron Miller, Carl Sagan","=""055305340X""","=""""",0,4.21,Bantam,Paperback,198,1988,1988,,2022/07/29,to-read,to-read (#141),to-read,,,,0,0
33257757,"Iron Gold (Red Rising Saga, #4)",Pierce Brown,"Brown, Pierce",,"=""042528591X""","=""9780425285916""",0,4.23,Del Rey,Hardcover,602,2018,2018,,2022/08/26,to-read,to-read (#139),to-read,,,,0,0
18966806,"Morning Star (Red Rising Saga, #3)",Pierce Brown,"Brown, Pierce",,"=""0345539842""","=""9780345539847""",5,4.52,Del Rey,Hardcover,525,2016,2016,2022/08/26,2022/08/10,,,read,,,,1,0
16981,Invisible Man,Ralph Ellison,"Ellison, Ralph",,"=""""","=""""",0,3.91,Vintage,Paperback,581,1995,1952,,2022/08/22,to-read,to-read (#138),to-read,,,,0,0
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","Roberto González Echevarría, John Rutherford","=""""","=""""",0,3.9,Penguin Books,Paperback,1023,2003,1605,,2022/08/22,to-read,to-read (#137),to-read,,,,0,0
33574273,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"L'Engle, Madeleine",,"=""1250153271""","=""9781250153272""",0,3.98,Square Fish,Paperback,218,2017,1962,,2022/08/22,to-read,to-read (#136),to-read,,,,0,0
59277882,"The Gray Man (Gray Man, #1)",Mark Greaney,"Greaney, Mark",,"=""051514701X""","=""9780515147018""",3,4.15,Berkley,Mass Market Paperback,456,2021,2009,2022/08/09,2022/06/20,,,read,,,,1,0
9647295,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765365278""","=""9780765365279""",5,4.66,Tom Doherty,Mass Market Paperback,1258,2011,2010,2022/08/05,2022/01/08,,,read,,,,1,0
111113,Interaction of Color,Josef Albers,"Albers, Josef",Nicholas Fox Weber,"=""0300115954""","=""9780300115956""",0,4.07,Yale University Press,Paperback,160,2006,1971,,2022/08/03,to-read,to-read (#129),to-read,,,,0,0
41160292,Exhalation,Ted Chiang,"Chiang, Ted",,"=""""","=""""",0,4.27,Knopf,Kindle Edition,368,2019,2019,,2022/03/19,"to-read, hugo-award-winners","to-read (#57), hugo-award-winners (#6)",to-read,,,,0,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",4,4.31,Tor,Mass Market Paperback,324,2004,1985,,2021/01/09,hugo-award-winners,hugo-award-winners (#3),read,,,,2,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",0,4.34,Scholastic Press,Hardcover,374,2008,2008,,2022/07/26,to-read,to-read (#124),to-read,,,,0,0
140974,"The Path of Daggers (The Wheel of Time, #8)",Robert Jordan,"Jordan, Robert",,"=""0812550293""","=""9780812550290""",4,3.93,Tor Books,Mass Market Paperback,685,1999,1998,2022/07/12,2022/04/17,,,read,,,,1,0
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316897""","=""9780765316899""",0,4.55,Tor Books,Hardcover,572,2008,2008,,2022/06/29,to-read,to-read (#121),to-read,,,,0,0
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316889""","=""9780765316882""",0,4.38,Tor Books,Hardcover,590,2007,2007,,2022/06/29,to-read,to-read (#120),to-read,,,,0,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",4,4.03,Vintage International,Paperback,123,1989,1942,2022/06/20,2022/01/23,,,read,,,,1,0
18490585,"The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765377136""","=""9780765377135""",5,4.48,Tor Trade,Paperback,664,2014,2006,2022/06/18,2022/06/05,,,read,,,,1,0
5776903,Three Novels: Molloy / Malone Dies / The Unnamable,Samuel Beckett,"Beckett, Samuel",Laura Lindgren,"=""0802144470""","=""9780802144478""",0,4.28,Grove Press,Paperback,407,2014,1958,,2022/06/14,to-read,to-read (#118),to-read,,,,0,0
46167,A Farewell to Arms,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",0,3.82,Scribner,Paperback,332,1995,1929,,2022/06/11,to-read,to-read (#117),to-read,,,,0,0
20697410,"Golden Son (Red Rising Saga, #2)",Pierce Brown,"Brown, Pierce",,"=""0345539818""","=""9780345539816""",5,4.47,Del Rey,Hardcover,447,2015,2015,2022/06/04,2022/05/29,,,read,,,,1,0
414998,The Songs of Distant Earth,Arthur C. Clarke,"Clarke, Arthur C.",,"=""0345322401""","=""9780345322401""",0,3.91,Del Rey/Ballantine Books,Mass Market Paperback,319,1991,1986,,2022/06/01,to-read,to-read (#114),to-read,,,,0,0
13356706,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0547928211""","=""9780547928210""",0,4.4,William Morrow Paperbacks,Paperback,407,2012,1954,,2022/05/26,to-read,to-read (#113),to-read,,,,0,0
123933,No Exit,Jean-Paul Sartre,"Sartre, Jean-Paul",,"=""0573613052""","=""9780573613050""",0,4.12,Concord Theatricals,Paperback,60,1958,1944,,2022/05/26,to-read,to-read (#112),to-read,,,,0,0
3717544,"The Magician's Nephew (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.",,"=""""","=""""",4,4.05,Harper Trophy,Paperback,221,1994,1955,2022/05/26,2022/05/19,,,read,,,,1,0
812374,Secret Knowledge: Rediscovering the Lost Techniques of the Old Masters,David Hockney,"Hockney, David",,"=""0142005126""","=""9780142005125""",0,4.17,Avery,Paperback,336,2006,2001,,2022/05/24,to-read,to-read (#111),to-read,,,,0,0
22590,Ubik,Philip K. Dick,"Dick, Philip K.",,"=""8498000831""","=""9788498000832""",0,4.11,La factoría de ideas,Paperback,288,2004,1969,,2022/05/23,to-read,to-read (#110),to-read,,,,0,0
168814,Keys to Drawing,Bert Dodson,"Dodson, Bert",,"=""0891343377""","=""9780891343370""",0,4.07,North Light Books,Paperback,224,1990,1985,,2022/05/23,to-read,to-read (#109),to-read,,,,0,0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",5,4.32,Ecco,Paperback,408,2012,2011,2022/05/22,2022/05/15,,,read,,,,1,0
31360,"Children of the Mind (Ender's Saga, #4)",Orson Scott Card,"Card, Orson Scott",,"=""0765304740""","=""9780765304742""",0,3.78,Tor Books,Paperback,370,2002,1996,,2022/05/21,to-read,to-read (#106),to-read,,,,0,0
636108,Dr. Bloodmoney,Philip K. Dick,"Dick, Philip K.",,"=""0375719296""","=""9780375719295""",0,3.7,Vintage,Paperback,298,2002,1963,,2022/05/16,to-read,to-read (#104),to-read,,,,0,0
24885533,The Paper Menagerie and Other Stories,Ken Liu,"Liu, Ken",,"=""1481442546""","=""9781481442541""",0,4.36,Gallery / Saga Press,Hardcover,450,2016,2016,,2022/05/16,to-read,to-read (#103),to-read,,,,0,0
18952341,"The Grace of Kings (The Dandelion Dynasty, #1)",Ken Liu,"Liu, Ken",,"=""1481424270""","=""9781481424271""",0,3.79,Saga Press,Hardcover,640,2015,2015,,2022/05/16,to-read,to-read (#102),to-read,,,,0,0
54900051,Madhouse at the End of the Earth: The Belgica's Journey into the Dark Antarctic Night,Julian Sancton,"Sancton, Julian",,"=""1984824333""","=""9781984824332""",0,4.27,Crown,Hardcover,354,2021,2021,,2022/05/16,to-read,to-read (#101),to-read,,,,0,0
22055262,"A Darker Shade of Magic (Shades of Magic, #1)",Victoria E. Schwab,"Schwab, Victoria E.",,"=""0765376458""","=""9780765376459""",2,4.05,Tor,Hardcover,400,2015,2015,2022/05/15,2022/03/12,,,read,,,,1,0
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""""","=""""",4,4.27,Del Rey,Hardcover,382,2014,2014,2022/05/05,2022/04/16,,,read,,,,1,0
13890,"A Crown of Swords (The Wheel of Time, #7)",Robert Jordan,"Jordan, Robert",,"=""0812550285""","=""9780812550283""",5,4.06,Tor Books,Mass Market Paperback,880,1997,1996,2022/05/01,2021/08/29,,,read,,,,1,0
52372,On Photography,Susan Sontag,"Sontag, Susan",,"=""0141187166""","=""9780141187167""",0,3.89,Penguin Books,Paperback,224,1979,1973,,2022/04/30,to-read,to-read (#100),to-read,,,,0,0
175324,Double Star,Robert A. Heinlein,"Heinlein, Robert A.",,"=""0345330137""","=""9780345330130""",4,3.91,Del Rey,Mass Market Paperback,243,1986,1956,2022/04/12,2022/03/30,,,read,,,,1,0
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353308""","=""9780385353304""",3,4.07,Knopf,Hardcover,333,2014,2014,2022/04/10,2022/03/21,,,read,,,,1,0
771085,My Bondage and My Freedom,Frederick Douglass,"Douglass, Frederick",John David Smith,"=""0140439188""","=""9780140439182""",0,4.38,Penguin Classics,Paperback,432,2003,1855,,2022/04/07,to-read,to-read (#98),to-read,,,,0,0
124175,Life and Times of Frederick Douglass,Frederick Douglass,"Douglass, Frederick",,"=""1853265691""","=""9781853265693""",0,4.35,Wordsworth Edition,Paperback,400,1998,1881,,2022/04/07,to-read,to-read (#97),to-read,,,,0,0
36529,Narrative of the Life of Frederick Douglass,Frederick Douglass,"Douglass, Frederick",,"=""1580495761""","=""9781580495769""",0,4.12,Prestwick House Inc.,Paperback,158,2004,1845,,2022/04/07,to-read,to-read (#95),to-read,,,,0,0
15196,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,"Spiegelman, Art",,"=""0394541553""","=""9780394541556""",0,4.38,Pantheon Books,Hardcover,159,1991,1986,,2022/04/01,to-read,to-read (#94),to-read,,,,0,0
607244,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""""","=""9780553211962""",4,3.88,Bantam Books,Paperback,201,1972,1915,2022/01/15,2021/01/09,,,read,,,,1,0
3369869,Childhood's End,Arthur C. Clarke,"Clarke, Arthur C.",,"=""0881032646""","=""9780881032642""",5,4.12,Turtleback Books,Library Binding,218,1987,1953,2022/03/31,2022/03/21,,,read,,,,1,0
77507,"Red Mars (Mars Trilogy, #1)",Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0553560735""","=""9780553560732""",0,3.86,Spectra Books,Mass Market Paperback,572,1993,1992,,2022/03/30,to-read,to-read (#87),to-read,,,,0,0
